rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
25,Express Scripts Holding,22,"$100,065 ",-0.20%,"$4,517.40 ",32.70%,"$54,256 ","$38,791 ","26,600",Timothy C. Wentworth,"President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,19,St. Louis,MO,38.6270025,-90.1994042
26,Wells Fargo,25,"$97,741 ",3.80%,"$22,183.00 ",1.10%,"$1,951,757 ","$255,556 ","262,700",Timothy J. Sloan,"President, Chief Executive Officer &  Director",Financials,Commercial Banks,24,SF,CA,37.7749295,-122.4194155
27,Boeing,24,"$93,392 ",-1.20%,"$8,197.00 ",67.50%,"$92,333 ","$192,539 ","140,800",Dennis A. Muilenburg,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Chicago,IL,41.8781136,-87.6297982
28,Phillips 66,34,"$91,568 ",26.50%,"$5,106.00 ",228.40%,"$54,371 ","$44,730 ","14,600",Greg C. Garland,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,6,Houston,TX,29.7604267,-95.3698028
29,Anthem,29,"$90,040 ",6.10%,"$3,842.80 ",55.60%,"$70,540 ","$56,182 ","56,000",Gail K. Boudreaux,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Indianapolis,IN,39.768403,-86.158068
30,Microsoft,28,"$89,950 ",5.40%,"$21,204.00 ",26.20%,"$241,086 ","$702,760 ","124,000",Satya Nadella,Chief Executive Officer &  Director,Technology,Computer Software,24,Redmond,WA,47.6739881,-122.121512
31,Valero Energy,37,"$88,407 ",26.00%,"$4,065.00 ",77.60%,"$50,158 ","$39,977 ","10,015",Joseph W. Gorder,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,20,San Antonio,TX,29.4241219,-98.4936282
32,Citigroup,30,"$87,966 ",6.80%,"($6,798.00)",-145.60%,"$1,842,465 ","$172,822 ","209,000",Michael L. Corbat,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
33,Comcast,31,"$84,526 ",5.10%,"$22,714.00 ",161.20%,"$186,949 ","$158,703 ","164,000",Brian L. Roberts,"Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,23,Philadelphia,PA,39.9525839,-75.1652215
34,IBM,32,"$79,139 ",-1.00%,"$5,753.00 ",-51.50%,"$125,356 ","$141,335 ","397,800",Virginia M. Rometty,"Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,24,Armonk,NY,41.1264849,-73.7140195
35,Dell Technologies,41,"$78,660 ",21.40%,"($3,728.00)",-,"$122,281 ",-,"145,000",Michael S. Dell,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",21,Round Rock,TX,30.5082551,-97.678896
36,State Farm Insurance Cos.,33,"$78,331 ",2.90%,"$2,206.50 ",529.90%,"$272,345 ",-,"65,664",Michael L. Tipsord,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),24,Bloomington,IL,40.4842027,-88.9936873
37,Johnson & Johnson,35,"$76,450 ",6.30%,"$1,300.00 ",-92.10%,"$157,303 ","$343,780 ","134,000",Alex Gorsky,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New Brunswick,NJ,40.4862157,-74.4518188
38,Freddie Mac,39,"$74,676 ",13.70%,"$5,625.00 ",-28.00%,"$2,049,776 ",$878 ,"6,165",Donald H. Layton,Chairman &  Chief Executive Officer,Financials,Diversified Financials,21,McLean,VA,38.9338676,-77.1772604
39,Target,38,"$71,879 ",3.40%,"$2,934.00 ",7.20%,"$38,999 ","$37,409 ","345,000",Brian C. Cornell,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Minneapolis,MN,44.977753,-93.2650108
40,Lowes,40,"$68,619 ",5.50%,"$3,447.00 ",11.40%,"$35,291 ","$72,812 ","255,000",Robert A. Niblock,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Mooresville,NC,35.5848596,-80.8100724
41,Marathon Petroleum,51,"$67,610 ",21.00%,"$3,432.00 ",192.30%,"$49,047 ","$34,683 ","43,800",Gary R. Heminger,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,7,Findlay,OH,41.04422,-83.6499321
42,Procter & Gamble,36,"$66,217 ",-7.70%,"$15,326.00 ",45.90%,"$120,406 ","$199,865 ","95,000",David S. Taylor,"Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,24,Cincinnati,OH,39.1031182,-84.5120196
43,MetLife,42,"$66,153 ",4.20%,"$4,010.00 ",401.30%,"$719,892 ","$47,572 ","49,000",Steven A. Kandarian,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,New York,NY,40.7127753,-74.0059728
44,UPS,46,"$65,872 ",8.20%,"$4,910.00 ",43.10%,"$45,403 ","$90,156 ","346,415",David P. Abney,Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Atlanta,GA,33.7489954,-84.3879824
45,PepsiCo,44,"$63,525 ",1.20%,"$4,857.00 ",-23.30%,"$79,804 ","$154,933 ","263,000",Indra K. Nooyi,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Harrison,NY,41.0400135,-73.7144477
46,Intel,47,"$62,761 ",5.70%,"$9,601.00 ",-6.90%,"$123,249 ","$243,109 ","102,700",Robert H. Swan,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,24,Santa Clara,CA,37.3541079,-121.9552356
47,DowDuPont,62,"$62,683 ",30.20%,"$1,460.00 ",-66.20%,"$192,164 ","$148,186 ",98000,Edward D. Breen,Chief Executive Officer,Chemicals,Chemicals,24,Midland,Michigan,43.623574,-84.232105
48,Archer Daniels Midland,45,"$60,828 ",-2.40%,"$1,595.00 ",24.70%,"$39,963 ","$24,238 ","31,300",Juan R. Luciano,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Production,24,Chicago,IL,41.8781136,-87.6297982
49,Aetna,43,"$60,535 ",-4.10%,"$1,904.00 ",-16.20%,"$55,151 ","$55,229 ","47,950",Mark T. Bertolini,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,18,Hartford,CT,41.7658043,-72.6733723
50,FedEx,58,"$60,319 ",19.80%,"$2,997.00 ",64.70%,"$48,552 ","$64,161 ","357,000",Frederick W. Smith,Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Memphis,TN,35.1495343,-90.0489801
51,United Technologies,50,"$59,837 ",4.50%,"$4,552.00 ",-10.00%,"$96,920 ","$100,667 ","204,700",Gregory J. Hayes,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Farmington,CT,41.7360305,-72.795027
52,Prudential Financial,48,"$59,689 ",1.50%,"$7,863.00 ",80.00%,"$831,921 ","$43,686 ","49,705",John R. Strangfeld,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Newark,NJ,40.735657,-74.1723667
53,Albertsons Cos.,49,"$59,678 ",1.60%,($373.30),-,"$23,755 ",-,"273,000",Robert G. Miller,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,14,Boise,ID,43.6150186,-116.2023137
54,Sysco,57,"$55,371 ",9.90%,"$1,142.50 ",20.30%,"$17,757 ","$31,294 ","66,500",Thomas L. Ben�,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,24,Houston,TX,29.7604267,-95.3698028
55,Disney,52,"$55,137 ",-0.90%,"$8,980.00 ",-4.40%,"$95,789 ","$151,029 ","199,000",Robert A. Iger,Chairman &  Chief Executive Officer,Media,Entertainment,24,Burbank,CA,34.1808392,-118.3089661
56,Humana,53,"$53,767 ",-1.10%,"$2,448.00 ",298.70%,"$27,178 ","$37,122 ","45,900",Bruce D. Broussard,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Louisville,KY,38.2526647,-85.7584557
57,Pfizer,54,"$52,546 ",-0.50%,"$21,308.00 ",195.30%,"$171,797 ","$211,115 ","90,200",Ian C. Read,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New York,NY,40.7127753,-74.0059728
58,HP,61,"$52,056 ",7.90%,"$2,526.00 ",1.20%,"$32,913 ","$35,893 ","49,000",Dion J. Weisler,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",24,Palo Alto,CA,37.4418834,-122.1430195
59,Lockheed Martin,56,"$51,048 ",0.80%,"$2,002.00 ",-62.20%,"$46,521 ","$96,589 ","100,000",Marillyn A. Hewson,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Bethesda,MD,38.984652,-77.0947092
60,AIG,55,"$49,520 ",-5.40%,"($6,084.00)",-,"$498,301 ","$49,145 ","49,800",Brian Duperreault,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,New York,NY,40.7127753,-74.0059728
61,Centene,66,"$48,572 ",19.30%,$828.00 ,47.30%,"$21,855 ","$18,704 ","33,700",Michael F. Neidorff,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,9,St. Louis,MO,38.6270025,-90.1994042
62,Cisco Systems,60,"$48,005 ",-2.50%,"$9,609.00 ",-10.50%,"$129,818 ","$206,623 ","72,900",Charles H. Robbins,Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,22,San Jose,CA,37.3382082,-121.8863286
63,HCA Healthcare,63,"$47,653 ",6.50%,"$2,216.00 ",-23.30%,"$36,593 ","$34,165 ",221491,R. Milton Johnson,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,24,Nashville,TN,36.1626638,-86.7816016
64,Energy Transfer Equity,79,"$47,487 ",26.60%,$954.00 ,-4.10%,"$86,246 ","$15,335 ","29,486",John W. McReynolds,President &  Director,Energy,Pipelines,12,Dallas,TX,32.7766642,-96.7969879
65,Caterpillar,74,"$45,462 ",18.00%,$754.00 ,-,"$76,962 ","$88,078 ","98,400",D. James Umpleby III,Chairman &  Chief Executive Officer,Industrials,Construction and Farm Machinery,24,Deerfield,IL,42.1711365,-87.8445119
66,Nationwide,68,"$43,940 ",9.60%,$246.50 ,-26.20%,"$221,257 ",-,"33,135",Stephen S. Rasmussen,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),24,Columbus,OH,39.9611755,-82.9987942
67,Morgan Stanley,76,"$43,642 ",15.00%,"$6,111.00 ",2.20%,"$851,733 ","$96,688 ","57,633",James P. Gorman,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
68,Liberty Mutual Insurance Group,75,"$42,687 ",11.40%,$17.00 ,-98.30%,"$142,502 ",-,"50,000",David H. Long,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Boston,MA,42.3600825,-71.0588801
69,New York Life Insurance,65,"$42,296 ",3.70%,"$1,866.90 ",71.60%,"$303,183 ",-,"11,114",Theodore A. Mathas,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,New York,NY,40.7127753,-74.0059728
70,Goldman Sachs Group,78,"$42,254 ",12.00%,"$4,286.00 ",-42.10%,"$916,776 ","$95,463 ","36,600",Lloyd C. Blankfein,Chairman &  Chief Executive Officer,Financials,Commercial Banks,19,New York,NY,40.7127753,-74.0059728
71,American Airlines Group,67,"$42,207 ",5.00%,"$1,919.00 ",-28.30%,"$51,396 ","$24,584 ","126,600",W. Douglas Parker,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Fort Worth,TX,32.7554883,-97.3307658
72,Best Buy,72,"$42,151 ",7.00%,"$1,000.00 ",-18.60%,"$13,049 ","$20,460 ","125,000",Hubert B. Joly,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Richfield,MN,44.8832982,-93.2830021
73,Cigna,70,"$41,616 ",4.90%,"$2,237.00 ",19.80%,"$61,753 ","$40,735 ","46,000",David M. Cordani,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Bloomfield,CT,41.826488,-72.7300945
74,Charter Communications,96,"$41,581 ",43.40%,"$9,895.00 ",180.90%,"$146,623 ","$80,954 ","94,800",Thomas M. Rutledge,Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,18,Stamford,CT,41.0534302,-73.5387341
75,Delta Air Lines,71,"$41,244 ",4.00%,"$3,577.00 ",-18.20%,"$53,292 ","$38,746 ","86,564",Edward H. Bastian,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Atlanta,GA,33.7489954,-84.3879824
76,Facebook,98,"$40,653 ",47.10%,"$15,934.00 ",56.00%,"$84,524 ","$464,190 ","25,105",Mark Zuckerberg,Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,6,Menlo Park,CA,37.4529598,-122.1817252
77,Honeywell International,73,"$40,534 ",3.10%,"$1,655.00 ",-65.60%,"$59,387 ","$108,149 ","131,000",Darius Adamczyk,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",24,Morris Plains,NJ,40.8395922,-74.4818698
78,Merck,69,"$40,122 ",0.80%,"$2,394.00 ",-38.90%,"$87,872 ","$146,862 ","69,000",Kenneth C. Frazier,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,24,Kenilworth,NJ,40.6764911,-74.2907032
79,Allstate,84,"$38,524 ",5.40%,"$3,189.00 ",69.90%,"$112,422 ","$33,478 ","42,680",Thomas J. Wilson,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),23,Northbrook,IL,42.1275267,-87.8289548
80,Tyson Foods,82,"$38,260 ",3.70%,"$1,774.00 ",0.30%,"$28,066 ","$29,233 ","122,000",Thomas P. Hayes,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,24,Springdale,AR,36.1867442,-94.1288141
81,United Continental Holdings,83,"$37,736 ",3.20%,"$2,131.00 ",-5.80%,"$42,326 ","$19,778 ","89,800",Oscar Munoz,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Chicago,IL,41.8781136,-87.6297982
82,Oracle,81,"$37,728 ",1.80%,"$9,335.00 ",4.90%,"$134,991 ","$186,766 ","138,000",Safra A. Catz/Mark V. Hurd,Co-Chief Executive Officer &  Director,Technology,Computer Software,23,Redwood City,CA,37.4852152,-122.2363548
83,Tech Data,107,"$36,775 ",40.20%,$116.60 ,-40.20%,"$12,653 ","$3,249 ","14,000",Richard T. Hume,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Clearwater,FL,27.9658533,-82.8001026
84,TIAA,80,"$36,025 ",-2.90%,"$1,049.70 ",-29.70%,"$583,632 ",-,"16,829",Roger W. Ferguson Jr.,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (Mutual)",21,New York,NY,40.7127753,-74.0059728
85,TJX,87,"$35,865 ",8.10%,"$2,607.90 ",13.50%,"$14,058 ","$51,571 ","249,000",Ernie L. Herrman,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,24,Framingham,MA,42.279286,-71.4161565
86,American Express,86,"$35,583 ",5.20%,"$2,736.00 ",-49.40%,"$181,159 ","$80,234 ","55,000",Stephen J. Squeri,Chairman &  Chief Executive Officer,Financials,Diversified Financials,24,New York,NY,40.7127753,-74.0059728
87,Coca-Cola,64,"$35,410 ",-15.40%,"$1,248.00 ",-80.90%,"$87,896 ","$185,207 ","61,800",James R. Quincey,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,24,Atlanta,GA,33.7489954,-84.3879824
88,Publix Super Markets,85,"$34,837 ",1.60%,"$2,291.90 ",13.10%,"$18,184 ",-,"193,000",Randall T. Jones Sr.,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,24,Lakeland,FL,28.0394654,-81.9498042
89,Nike,88,"$34,350 ",6.10%,"$4,240.00 ",12.80%,"$23,259 ","$108,094 ","74,400",Mark G. Parker,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,24,Beaverton,OR,45.4887993,-122.8013332
90,Andeavor,117,"$34,204 ",42.50%,"$1,528 ",108.20%,"$28,573 ","$15,386 ",14300,Gregory J. Goff,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,19,San Antonio,TX,29.4241219,-98.4936282
91,World Fuel Services,103,"$33,696 ",24.70%,($170.20),-234.50%,"$5,588 ","$1,661 ","5,000",Michael J. Kasbar,Chairman &  Chief Executive Officer,Energy,Energy,14,Miami,FL,25.7616798,-80.1917902
92,Exelon,89,"$33,531 ",6.90%,"$3,770.00 ",232.50%,"$116,700 ","$37,644 ","34,621",Christopher M. Crane,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Chicago,IL,41.8781136,-87.6297982
93,Massachusetts Mutual Life Insurance,77,"$33,495 ",-11.40%,$513.00 ,-59.70%,"$288,855 ",-,"11,811",Roger W. Crandall,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",24,Springfield,MA,42.1014831,-72.589811
94,Rite Aid,91,"$32,845 ",6.90%,$4.10 ,-97.60%,"$11,594 ","$1,793 ","70,430",John T. Standley,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Camp Hill,PA,40.2398118,-76.9199742
95,ConocoPhillips,115,"$32,584 ",33.80%,($855.00),-,"$73,362 ","$69,641 ","11,400",Ryan M. Lance,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",24,Houston,TX,29.7604267,-95.3698028
96,CHS,93,"$31,935 ",5.20%,$127.90 ,-69.90%,"$15,974 ",-,"11,626",Jay D. Debertin,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,19,Inver Grove Heights,MN,44.8480218,-93.0427153
97,3M,94,"$31,657 ",5.10%,"$4,858.00 ",-3.80%,"$37,987 ","$130,550 ","91,536",Inge G. Thulin,"Chairman, President &  Chief Executive Officer",Industrials,Miscellaneous,24,St Paul,MN,44.9537029,-93.0899578
98,Time Warner,95,"$31,271 ",6.70%,"$5,247.00 ",33.60%,"$69,209 ","$73,758 ","26,000",John Stankey,Chairman &  Chief Executive Officer,Media,Entertainment,19,New York,NY,40.7127753,-74.0059728
99,General Dynamics,90,"$30,973 ",-1.20%,"$2,912.00 ",-1.50%,"$35,046 ","$65,845 ","98,600",Phebe N. Novakovic,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Falls Church,VA,38.882334,-77.1710914
100,USAA,102,"$30,016 ",10.60%,"$2,421.90 ",36.10%,"$155,391 ",-,"32,705",Stuart Parker,Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,San Antonio,TX,29.4241219,-98.4936282
101,Capital One Financial,100,"$29,999 ",9.00%,"$1,982.00 ",-47.20%,"$365,693 ","$46,584 ","49,300",Richard D. Fairbank,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,19,McLean,VA,38.9338676,-77.1772604
102,Deere,105,"$29,738 ",11.60%,"$2,159.10 ",41.70%,"$65,786 ","$50,291 ","60,476",Samuel R. Allen,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,24,Moline,IL,41.5067003,-90.5151342
103,INTL FCStone,189,"$29,424 ",99.40%,$6.40 ,-88.30%,"$6,243 ",$804 ,"1,607",Sean M. O'Connor,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,10,New York,NY,40.7127753,-74.0059728
104,Northwestern Mutual,97,"$29,331 ",1.80%,"$1,017.00 ",24.30%,"$265,049 ",-,"5,437",John E. Schlifske,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,Milwaukee,WI,43.0389025,-87.9064736
105,Enterprise Products Partners,122,"$29,242 ",27.00%,"$2,799.30 ",11.40%,"$54,418 ","$52,904 ","7,000",A. James Teague,Chairman &  Chief Executive Officer,Energy,Pipelines,13,Houston,TX,29.7604267,-95.3698028
106,Travelers Cos.,99,"$28,902 ",4.60%,"$2,056.00 ",-31.80%,"$103,483 ","$37,691 ","30,800",Alan D. Schnitzer,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,New York,NY,40.7127753,-74.0059728
107,Hewlett Packard Enterprise,59,"$28,871 ",-42.40%,$344.00 ,-89.10%,"$61,406 ","$27,243 ","66,000",Antonio Neri,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",2,Palo Alto,CA,37.4418834,-122.1430195
108,Philip Morris International,104,"$28,748 ",7.70%,"$6,035.00 ",-13.40%,"$42,968 ","$154,514 ","80,600",Andr� Calantzopoulos,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Tobacco,10,New York,NY,40.7127753,-74.0059728
109,Twenty-First Century Fox,101,"$28,500 ",4.30%,"$2,952.00 ",7.20%,"$50,724 ","$67,969 ","21,700",James R. Murdoch,Chief Executive Officer &  Director,Media,Entertainment,14,New York,NY,40.7127753,-74.0059728
110,AbbVie,111,"$28,216 ",10.10%,"$5,309.00 ",-10.80%,"$70,786 ","$150,180 ","29,000",Richard A. Gonzalez,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,5,North Chicago,IL,42.325578,-87.8411818
